date,model,VaR,loss
2015-12-02,Historical simulation,2.9075156802964788,-0.7005435566140861
2015-12-03,Historical simulation,2.9075156802964788,0.0069637883036932635
2015-12-04,Historical simulation,2.9075156802964788,0.4816763239573696
2015-12-07,Historical simulation,2.9075156802964788,1.4094169391439593
2015-12-08,Historical simulation,2.9075156802964788,-1.8510420666895122
2015-12-09,Historical simulation,2.9075156802964788,1.5711035411825947
2015-12-10,Historical simulation,2.9075156802964788,0.738744658171786
2015-12-11,Historical simulation,2.9075156802964788,-0.42508979323008234
2015-12-14,Historical simulation,2.9075156802964788,0.21498697926451982
2015-12-15,Historical simulation,2.9075156802964788,-1.0228186352841284
2015-12-16,Historical simulation,2.9075156802964788,-0.7978649138197014
2015-12-17,Historical simulation,2.9075156802964788,-0.793282172685128
2015-12-18,Historical simulation,2.9075156802964788,1.5594619659243136
2015-12-21,Historical simulation,2.9075156802964788,0.22553485966989584
2015-12-22,Historical simulation,2.9075156802964788,0.09706596835350467
2015-12-23,Historical simulation,2.9075156802964788,0.3679401295899609
2015-12-24,Historical simulation,2.9075156802964788,-0.3361526112210633
2015-12-25,Historical simulation,2.9075156802964788,-0.2645877504909855
2015-12-28,Historical simulation,2.9075156802964788,-0.3920642873009861
2015-12-29,Historical simulation,2.9075156802964788,-1.1150099377545075
2015-12-30,Historical simulation,2.9075156802964788,-0.5468371561901719
2015-12-31,Historical simulation,2.9075156802964788,0.07250880781741742
2016-01-04,Historical simulation,2.9075156802964788,0.8010862649002526
2016-01-05,Historical simulation,2.9075156802964788,0.7812334923077202
2016-01-06,Historical simulation,2.9075156802964788,-0.809084281883532
2016-01-07,Historical simulation,2.9075156802964788,1.6159238566382683
2016-01-08,Historical simulation,2.9075156802964788,0.943663092485103
2016-01-11,Historical simulation,2.9075156802964788,0.39001051297011813
2016-01-12,Historical simulation,2.9075156802964788,-1.1389177853227572
2016-01-13,Historical simulation,2.9075156802964788,0.6917858341952687
2016-01-14,Historical simulation,2.9075156802964788,1.3185030240520312
2016-01-15,Historical simulation,2.9075156802964788,1.8229267552939632
2016-01-18,Historical simulation,2.9075156802964788,3.1178594540254956
2016-01-19,Historical simulation,3.117961627100076,-1.77005769959111
2016-01-20,Historical simulation,3.117961627100076,1.1885120328216203
2016-01-21,Historical simulation,3.117961627100076,1.4382167775754517
2016-01-22,Historical simulation,3.117961627100076,-0.068957593814023
2016-01-25,Historical simulation,3.117961627100076,-3.7784297150539103
2016-01-26,Historical simulation,3.117961627100076,0.8554974033746277
2016-01-27,Historical simulation,3.117961627100076,-0.9181679060525028
2016-01-28,Historical simulation,3.117961627100076,0.5951078404503818
2016-01-29,Historical simulation,3.117961627100076,-1.0657228973236954
2016-02-01,Historical simulation,3.117961627100076,0.8638765837819307
2016-02-02,Historical simulation,3.117961627100076,0.7632278161163519
